,Image,Collection,Production,Date,Occasion,Leaflet Language,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Title Language,Season,Directors
3695,Scan 2024-04-29 1403-103.jpeg,1961-1962,Don Pasquale,1961-09-30,,ned,True,824780,Don Pasquale,ITA,Gaetano Donizetti,1843,Don Pasquale,komische opera,unk,1961-1962,Renaat Verbruggen
3696,Scan 2024-04-29 1403-103.jpeg,1961-1962,De Toverwinkel,1961-09-30,,ned,True,824780,De Toverwinkel,FR,Ottorino Respighi,1919,La Boutique fantasque,ballet,NL,1961-1962,Renaat Verbruggen
3697,Scan 2024-04-29 1403-103.jpeg,1961-1962,Don Pasquale,1961-10-01,,ned,True,520836,Don Pasquale,ITA,Gaetano Donizetti,1843,Don Pasquale,komische opera,unk,1961-1962,Renaat Verbruggen
3698,Scan 2024-04-29 1403-103.jpeg,1961-1962,De Toverwinkel,1961-10-01,,ned,True,520836,De Toverwinkel,FR,Ottorino Respighi,1919,La Boutique fantasque,ballet,NL,1961-1962,Renaat Verbruggen
3699,Scan 2024-04-29 1403-103.jpeg,1961-1962,Don Pasquale,1961-10-05,,ned,True,663192,Don Pasquale,ITA,Gaetano Donizetti,1843,Don Pasquale,komische opera,unk,1961-1962,Renaat Verbruggen
3700,Scan 2024-04-29 1403-103.jpeg,1961-1962,De Toverwinkel,1961-10-05,,ned,True,663192,De Toverwinkel,FR,Ottorino Respighi,1919,La Boutique fantasque,ballet,NL,1961-1962,Renaat Verbruggen
3701,Scan 2024-04-29 1403-103.jpeg,1961-1962,Don Pasquale,1961-10-08,,ned,True,117509,Don Pasquale,ITA,Gaetano Donizetti,1843,Don Pasquale,komische opera,unk,1961-1962,Renaat Verbruggen
3702,Scan 2024-04-29 1403-103.jpeg,1961-1962,De Toverwinkel,1961-10-08,,ned,True,117509,De Toverwinkel,FR,Ottorino Respighi,1919,La Boutique fantasque,ballet,NL,1961-1962,Renaat Verbruggen
3703,Scan 2024-04-29 1403-114.jpeg,1961-1962,Don Pasquale,1961-10-03,galavoorstelling,ned,True,278184,Don Pasquale,ITA,Gaetano Donizetti,1843,Don Pasquale,komische opera,unk,1961-1962,Renaat Verbruggen
3704,Scan 2024-04-29 1403-114.jpeg,1961-1962,De Toverwinkel,1961-10-03,galavoorstelling,ned,True,278184,De Toverwinkel,FR,Ottorino Respighi,1919,La Boutique fantasque,ballet,NL,1961-1962,Renaat Verbruggen
3705,Scan 2024-04-29 1403-116.jpeg,1961-1962,De Dialogen der Karmelietessen,1961-10-07,,ned,False,663122,De Dialogen der Karmelietessen,FR,Francis Poulenc,1953,Dialogues des Carmélites,opera,NL,1961-1962,Renaat Verbruggen
3706,Scan 2024-04-29 1403-116.jpeg,1961-1962,De Dialogen der Karmelietessen,1961-10-08,,ned,False,363536,De Dialogen der Karmelietessen,FR,Francis Poulenc,1953,Dialogues des Carmélites,opera,NL,1961-1962,Renaat Verbruggen
3707,Scan 2024-04-29 1403-116.jpeg,1961-1962,De Dialogen der Karmelietessen,1961-10-12,,ned,False,635757,De Dialogen der Karmelietessen,FR,Francis Poulenc,1953,Dialogues des Carmélites,opera,NL,1961-1962,Renaat Verbruggen
3708,Scan 2024-04-29 1403-116.jpeg,1961-1962,De Dialogen der Karmelietessen,1961-10-15,,ned,False,805914,De Dialogen der Karmelietessen,FR,Francis Poulenc,1953,Dialogues des Carmélites,opera,NL,1961-1962,Renaat Verbruggen
3709,Scan 2024-04-29 1403-127.jpeg,1961-1962,André Chénier,1961-10-14,,ned,False,118264,André Chénier,ITA,Umberto Giordano,1896,Andrea Chénier,verismo opera,Unk,1961-1962,Renaat Verbruggen
3710,Scan 2024-04-29 1403-127.jpeg,1961-1962,André Chénier,1961-10-15,,ned,False,955811,André Chénier,ITA,Umberto Giordano,1896,Andrea Chénier,verismo opera,Unk,1961-1962,Renaat Verbruggen
3711,Scan 2024-04-29 1403-127.jpeg,1961-1962,André Chénier,1961-10-19,,ned,False,136955,André Chénier,ITA,Umberto Giordano,1896,Andrea Chénier,verismo opera,Unk,1961-1962,Renaat Verbruggen
3712,Scan 2024-04-29 1403-127.jpeg,1961-1962,André Chénier,1961-10-22,,ned,False,619633,André Chénier,ITA,Umberto Giordano,1896,Andrea Chénier,verismo opera,Unk,1961-1962,Renaat Verbruggen
3713,Scan 2024-04-29 1403-137.jpeg,1961-1962,Don Pasquale,1961-10-16,,ned,False,471310,Don Pasquale,ITA,Gaetano Donizetti,1843,Don Pasquale,komische opera,unk,1961-1962,Renaat Verbruggen
3714,Scan 2024-04-29 1403-145.jpeg,1961-1962,Andrea Chenier,1961-10-17,galavoorstelling,ned,False,512568,André Chénier,ITA,Umberto Giordano,1896,Andrea Chénier,verismo opera,Unk,1961-1962,Renaat Verbruggen
3715,Scan 2024-04-29 1403-147.jpeg,1961-1962,Frederika,1961-10-21,,ned,False,343271,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,Unk,1961-1962,Renaat Verbruggen
3716,Scan 2024-04-29 1403-147.jpeg,1961-1962,Frederika,1961-10-22,,ned,False,760824,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,Unk,1961-1962,Renaat Verbruggen
3717,Scan 2024-04-29 1403-147.jpeg,1961-1962,Frederika,1961-10-26,,ned,False,309396,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,Unk,1961-1962,Renaat Verbruggen
3718,Scan 2024-04-29 1403-147.jpeg,1961-1962,Frederika,1961-10-29,,ned,False,836178,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,Unk,1961-1962,Renaat Verbruggen
3719,Scan 2024-04-29 1403-154.jpeg,1961-1962,Orpheus,1961-10-28,,ned,False,989081,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,Unk,1961-1962,Renaat Verbruggen
3720,Scan 2024-04-29 1403-154.jpeg,1961-1962,Orpheus,1961-10-29,,ned,False,646308,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,Unk,1961-1962,Renaat Verbruggen
3721,Scan 2024-04-29 1403-154.jpeg,1961-1962,Orpheus,1961-11-02,,ned,False,411435,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,Unk,1961-1962,Renaat Verbruggen
3722,Scan 2024-04-29 1403-154.jpeg,1961-1962,Orpheus,1961-11-05,,ned,False,227492,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,Unk,1961-1962,Renaat Verbruggen
